prompt_version,run_id,cases,esc_tp,esc_fn,esc_fp,esc_tn,esc_precision,esc_recall,esc_f1,esc_specificity,missed_red_flags,over_escalated,tool_precision,tool_recall,calls_per_case
v1,v1-2026-09-17T22:30,30,1,3,0,26,1.0,0.25,0.4,1.0,"C01, C02, C04",,0.48,0.8,1.6666666666666667
v1,v1-2026-09-17T22:57,30,0,4,0,26,,0.0,,1.0,"C01, C02, C03, C04",,0.4444444444444444,0.8,1.8
v2,v2-2026-09-17T23:19,30,4,0,0,26,1.0,1.0,1.0,1.0,,,0.75,0.8,1.0666666666666667
v1,v1-2026-09-20T17:43,30,1,3,0,26,1.0,0.25,0.4,1.0,"C01, C03, C04",,0.4897959183673469,0.8,1.6333333333333333
v2,v2-2026-09-20T18:07,30,4,0,0,26,1.0,1.0,1.0,1.0,,,0.8275862068965517,0.8,0.9666666666666667
