run_id,ran_at,prompt,harness,judge,cases,tool_ok,value_ok,judge_mean,words_mean,contained,clinical_tool_calls,latency_s
v1-2026-09-17T22:30,2026-09-17 22:30:24.34,v1,canvas,claude-opus-5,30,12,10,3.58,344.0,2,3,19.3
v1-2026-09-17T22:57,2026-09-17 22:57:26.297,v1,canvas,gpt-5.1,30,12,10,3.67,344.0,1,7,15.0
v2-2026-09-17T23:19,2026-09-17 23:19:57.066,v2,canvas,gpt-5.1,30,12,12,4.0,151.0,6,0,9.6
v1-local-2026-09-18T23:50,2026-09-18 23:50:21.957243,v1,local,gpt-5.1,30,12,10,5.0,377.0,4,4,17.1
v2-local-2026-09-18T23:50,2026-09-18 23:50:30.088762,v2,local,gpt-5.1,30,12,12,4.67,140.0,6,0,10.6
v2-local-2026-09-19T03:16,2026-09-19 03:16:58.475616,v2,local,gpt-5.1,30,12,12,4.92,138.0,6,0,9.0
v1-2026-09-20T17:43,2026-09-20 17:43:47.68,v1,canvas,gpt-5.1,30,12,10,3.42,333.0,2,7,13.1
v2-2026-09-20T18:07,2026-09-20 18:07:40.656,v2,canvas,gpt-5.1,30,12,12,4.25,141.0,6,0,8.2
